action_id,epic_id,recommended_action,owner,expected_outcome,effort_hours,priority
ACT001,EP001,Escalate defect remediation,Operations Lead,clear release gate,10,High
ACT002,EP002,Tighten UAT coverage,Risk Partner,clear release gate,13,Medium
ACT003,EP003,Escalate defect remediation,Contact Center Lead,clear release gate,26,High
ACT004,EP004,Tighten UAT coverage,Digital PO,protect customer-facing launch quality,20,Medium
ACT005,EP005,Tighten UAT coverage,Operations Lead,close acceptance criteria gaps,13,Medium
ACT006,EP006,Prepare release signoff,Risk Partner,clear release gate,8,Normal
ACT007,EP007,Tighten UAT coverage,Contact Center Lead,close acceptance criteria gaps,26,Medium
ACT008,EP008,Tighten UAT coverage,Digital PO,clear release gate,20,Medium
ACT009,EP009,Escalate defect remediation,Operations Lead,protect customer-facing launch quality,14,High
ACT010,EP010,Escalate defect remediation,Risk Partner,clear release gate,14,High
