entity_id,entity_name,segment,priority_score,avg_risk_score,avg_quality_score,estimated_impact
PRO004,Product requirement 4,Core,110.19,53.4,79.6,987559
PRO028,Product requirement 28,Core,92.42,54.3,80.7,736288
PRO011,Product requirement 11,Strategic,92.07,48.0,80.1,783466
PRO001,Product requirement 1,Core,91.80,52.4,79.8,739403
PRO027,Product requirement 27,Growth,91.33,48.9,81.0,768986
PRO021,Product requirement 21,Watch,89.67,53.8,79.7,697005
PRO022,Product requirement 22,Strategic,87.35,51.6,80.1,685638
PRO012,Product requirement 12,Growth,87.12,53.8,79.4,660105
PRO031,Product requirement 31,Growth,85.55,55.4,80.4,629257
PRO009,Product requirement 9,Strategic,82.74,52.2,81.1,620308
PRO002,Product requirement 2,Core,82.39,50.3,80.7,630517
PRO023,Product requirement 23,Growth,82.01,50.6,80.1,619464
PRO024,Product requirement 24,Watch,80.50,54.0,81.2,574075
PRO017,Product requirement 17,Strategic,80.21,50.2,81.4,604236
PRO034,Product requirement 34,Growth,79.58,50.8,79.6,581755
PRO015,Product requirement 15,Strategic,78.49,47.6,80.7,598741
PRO016,Product requirement 16,Growth,76.74,49.6,79.4,551370
PRO014,Product requirement 14,Growth,76.33,50.5,79.0,536291
PRO003,Product requirement 3,Watch,75.83,54.5,79.3,495757
PRO007,Product requirement 7,Core,75.40,51.6,80.7,521498
PRO008,Product requirement 8,Watch,74.85,53.6,78.7,487288
PRO018,Product requirement 18,Strategic,74.08,51.9,81.9,505190
PRO006,Product requirement 6,Strategic,73.79,51.7,78.8,489629
PRO029,Product requirement 29,Growth,73.22,55.3,80.2,456188
PRO035,Product requirement 35,Core,72.86,49.1,79.9,503779
